index,uAnalysisPath,uFilename,uInclude,uFirstSlice,uLastSlice,uNumSlices,notes,,
0,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis,20200717__A01_G001_0001,,,,,,,
1,,20200717__A01_G001_0002,,,,,,,
2,,20200717__A01_G001_0003,1,18,45,28,,,
3,,20200717__A01_G001_0004,1,38,54,17,,,
4,,20200717__A01_G001_0005,1,49,65,17,,,
5,,20200717__A01_G001_0006,1,43,54,12,,,
6,,20200717__A01_G001_0007,,,,,,,
7,,20200717__A01_G001_0008,,,,,,,
8,,20200717__A01_G001_0009,,,,,,,
9,,20200717__A01_G001_0010,1,57,60,4,,,
10,,20200717__A01_G001_0011,1,44,63,20,,,
11,,20200717__A01_G001_0012,1,43,65,23,,,
12,,20200717__A01_G001_0013,1,43,46,4,,,
13,,20200717__A01_G001_0014,1,44,64,21,,,
14,,20200717__A01_G001_0015,1,56,61,6,,,
15,,20200717__A01_G001_0016,,,,,,,
16,,20200717__A01_G001_0017,,,,,,,
17,,20200717__A01_G001_0018,1,58,62,5,,,
18,,20200717__A01_G001_0019,1,41,61,21,,,
19,,20200717__A01_G001_0020,1,37,62,26,,,
20,,20200717__A01_G001_0021,,,,,,,
21,,20200717__A01_G001_0022,1,29,47,19,,,
22,,20200717__A01_G001_0023,1,44,58,15,,,
23,,20200717__A01_G001_0024,1,49,56,8,,,
24,,20200717__A01_G001_0025,,,,,marked bad during first/last,,
25,,20200717__A01_G001_0026,1,40,49,10,,,
26,,20200717__A01_G001_0027,1,22,30,9,,,
27,,20200717__A01_G001_0028,,,,,,,
28,,20200717__A01_G001_0029,1,18,38,21,,,
29,,20200717__A01_G001_0030,1,30,34,5,,,
30,,20200717__A01_G001_0031,1,27,50,24,,,
31,,20200717__A01_G001_0032,1,18,28,11,,,
32,,20200717__A01_G001_0033,,,,,,,
33,,20200717__A01_G001_0034,1,27,51,25,,,
34,,20200717__A01_G001_0035,1,25,31,7,,,
35,,20200717__A01_G001_0036,,,,,,,
36,,20200717__A01_G001_0037,,,,,,,
37,,20200717__A01_G001_0038,1,15,42,28,,,
38,,20200717__A01_G001_0039,,,,,,,
39,,20200717__A01_G001_0040,,,,,,,
40,,20200717__A01_G001_0041,,,,,,,
41,,20200717__A01_G001_0042,,,,,,,
42,,20200717__A01_G001_0043,,,,,,,
43,,20200717__A01_G001_0044,,,,,,,